freq	mag	phase
7112896751.79	-29.2108345032	34.4437828064
7112896951.79	-29.2154197693	34.2875938416
7112897151.79	-29.2198905945	34.1348381042
7112897351.79	-29.2246608734	33.9788627625
7112897551.79	-29.2296981812	33.8254547119
7112897751.79	-29.23412323	33.678817749
7112897951.79	-29.2384815216	33.5318450928
7112898151.79	-29.2431163788	33.3696174622
7112898351.79	-29.247713089	33.2201156616
7112898551.79	-29.2534046173	33.0596809387
7112898751.79	-29.2590484619	32.8931732178
7112898951.79	-29.263174057	32.7329368591
7112899151.79	-29.2676391602	32.5650787354
7112899351.79	-29.2732505798	32.3928413391
7112899551.79	-29.2797985077	32.2118835449
7112899751.79	-29.2849655151	32.0393829346
7112899951.79	-29.2901611328	31.8732681274
7112900151.79	-29.2954788208	31.692609787
7112900351.79	-29.3021087646	31.5010166168
7112900551.79	-29.308221817	31.3414974213
7112900751.79	-29.3129444122	31.1600170135
7112900951.79	-29.3180503845	30.9811191559
7112901151.79	-29.3241786957	30.8062534332
7112901351.79	-29.3310012817	30.6291217804
7112901551.79	-29.3376045227	30.4313850403
7112901751.79	-29.343624115	30.261631012
7112901951.79	-29.3514900208	30.046251297
7112902151.79	-29.3568229675	29.8720684052
7112902351.79	-29.3621273041	29.6753311157
7112902551.79	-29.3707256317	29.470293045
7112902751.79	-29.3775997162	29.2704486847
7112902951.79	-29.3850440979	29.0597782135
7112903151.79	-29.3923797607	28.8383846283
7112903351.79	-29.4014110565	28.6495018005
7112903551.79	-29.4076557159	28.4371509552
7112903751.79	-29.4147796631	28.2311878204
7112903951.79	-29.4230575562	28.0089435577
7112904151.79	-29.4311981201	27.7708396912
7112904351.79	-29.4387378693	27.5503063202
7112904551.79	-29.4471683502	27.3329238892
7112904751.79	-29.4538383484	27.1263504028
7112904951.79	-29.4621543884	26.897726059
7112905151.79	-29.4718761444	26.6621742249
7112905351.79	-29.478723526	26.4633388519
7112905551.79	-29.4891242981	26.2256698608
7112905751.79	-29.4975471497	25.9607372284
7112905951.79	-29.506986618	25.7253665924
7112906151.79	-29.5159072876	25.4717540741
7112906351.79	-29.5269393921	25.2051677704
7112906551.79	-29.5357112885	24.9685630798
7112906751.79	-29.5446071625	24.7307376862
7112906951.79	-29.556219101	24.4516067505
7112907151.79	-29.5650367737	24.1830482483
7112907351.79	-29.5750083923	23.9382514954
7112907551.79	-29.5856361389	23.6791477203
7112907751.79	-29.5960712433	23.4198246002
7112907951.79	-29.6069087982	23.1382446289
